Node,superkingdom,kingdom,phylum
6832, Eukaryota , Metazoa , Arthropoda 
61366, Eukaryota , Fungi , Ascomycota 
586526, Eukaryota , Viridiplantae , Streptophyta 
586526, Eukaryota , Viridiplantae , Streptophyta 
4170, Eukaryota , Viridiplantae , Streptophyta 
1194695, Eukaryota , Viridiplantae , Streptophyta 
33653, Eukaryota , Other, Other
33653, Eukaryota , Other, Other
33653, Eukaryota , Other, Other
33653, Eukaryota , Other, Other
33653, Eukaryota , Other, Other
47621, Eukaryota , Viridiplantae , Streptophyta 
1764295, Eukaryota , Viridiplantae , Chlorophyta 
34276, Eukaryota , Viridiplantae , Streptophyta 
34276, Eukaryota , Viridiplantae , Streptophyta 
34277, Eukaryota , Viridiplantae , Streptophyta 
34277, Eukaryota , Viridiplantae , Streptophyta 
34275, Eukaryota , Viridiplantae , Streptophyta 
3755, Eukaryota , Viridiplantae , Streptophyta 
3755, Eukaryota , Viridiplantae , Streptophyta 
506608, Eukaryota , Metazoa , Arthropoda 
189913, Eukaryota , Metazoa , Arthropoda 
222440, Eukaryota , Other, Preaxostyla 
2608996, Eukaryota , Viridiplantae , Chlorophyta 
35688, Eukaryota , Other, Rhodophyta 
561372, Eukaryota , Viridiplantae , Streptophyta 
3634, Eukaryota , Viridiplantae , Streptophyta 
3634, Eukaryota , Viridiplantae , Streptophyta 
5851, Eukaryota , Other, Apicomplexa 
5759, Eukaryota , Other, Evosea 
5759, Eukaryota , Other, Evosea 
53468, Eukaryota , Metazoa , Platyhelminthes 
2448454, Eukaryota , Viridiplantae , Streptophyta 
2448454, Eukaryota , Viridiplantae , Streptophyta 
2182728, Eukaryota , Viridiplantae , Streptophyta 
2182728, Eukaryota , Viridiplantae , Streptophyta 
4686, Eukaryota , Viridiplantae , Streptophyta 
4686, Eukaryota , Viridiplantae , Streptophyta 
5666, Eukaryota , Other, Euglenozoa 
70415, Eukaryota , Metazoa , Nematoda 
5689, Eukaryota , Other, Euglenozoa 
943146, Eukaryota , Metazoa , Arthropoda 
2600580, Eukaryota , Other, Apicomplexa 
44745, Eukaryota , Viridiplantae , Chlorophyta 
262757, Eukaryota , Viridiplantae , Streptophyta 
262757, Eukaryota , Viridiplantae , Streptophyta 
106335, Eukaryota , Viridiplantae , Streptophyta 
106335, Eukaryota , Viridiplantae , Streptophyta 
3870, Eukaryota , Viridiplantae , Streptophyta 
5763, Eukaryota , Other, Heterolobosea 
5763, Eukaryota , Other, Heterolobosea 
6185, Eukaryota , Metazoa , Platyhelminthes 
3870, Eukaryota , Viridiplantae , Streptophyta 
3870, Eukaryota , Viridiplantae , Streptophyta 
3981, Eukaryota , Viridiplantae , Streptophyta 
3981, Eukaryota , Viridiplantae , Streptophyta 
3981, Eukaryota , Viridiplantae , Streptophyta 
1109342, Eukaryota , Metazoa , Arthropoda 
307491, Eukaryota , Metazoa , Arthropoda 
307491, Eukaryota , Metazoa , Arthropoda 
307491, Eukaryota , Metazoa , Arthropoda 
2598192, Eukaryota , Metazoa , Nematoda 
307492, Eukaryota , Metazoa , Arthropoda 
110450, Eukaryota , Viridiplantae , Streptophyta 
6941, Eukaryota , Metazoa , Arthropoda 
867726, Eukaryota , Other, Other
4182, Eukaryota , Viridiplantae , Streptophyta 
51953, Eukaryota , Viridiplantae , Streptophyta 
7224, Eukaryota , Metazoa , Arthropoda 
7225, Eukaryota , Metazoa , Arthropoda 
36596, Eukaryota , Viridiplantae , Streptophyta 
36596, Eukaryota , Viridiplantae , Streptophyta 
36596, Eukaryota , Viridiplantae , Streptophyta 
42192, Eukaryota , Metazoa , Mollusca 
42192, Eukaryota , Metazoa , Mollusca 
5671, Eukaryota , Other, Euglenozoa 
36987, Eukaryota , Metazoa , Arthropoda 
266767, Eukaryota , Viridiplantae , Streptophyta 
266767, Eukaryota , Viridiplantae , Streptophyta 
220690, Eukaryota , Viridiplantae , Streptophyta 
40686, Eukaryota , Viridiplantae , Streptophyta 
40686, Eukaryota , Viridiplantae , Streptophyta 
326968, Eukaryota , Viridiplantae , Streptophyta 
326968, Eukaryota , Viridiplantae , Streptophyta 
326968, Eukaryota , Viridiplantae , Streptophyta 
130453, Eukaryota , Viridiplantae , Streptophyta 
1041015, Eukaryota , Metazoa , Arthropoda 
30033, Eukaryota , Metazoa , Arthropoda 
42229, Eukaryota , Viridiplantae , Streptophyta 
42229, Eukaryota , Viridiplantae , Streptophyta 
66656, Eukaryota , Viridiplantae , Streptophyta 
66656, Eukaryota , Viridiplantae , Streptophyta 
326968, Eukaryota , Viridiplantae , Streptophyta 
88456, Eukaryota , Other, Apicomplexa 
13443, Eukaryota , Viridiplantae , Streptophyta 
13443, Eukaryota , Viridiplantae , Streptophyta 
13443, Eukaryota , Viridiplantae , Streptophyta 
6645, Eukaryota , Metazoa , Mollusca 
7226, Eukaryota , Metazoa , Arthropoda 
7291, Eukaryota , Metazoa , Arthropoda 
161013, Eukaryota , Metazoa , Arthropoda 
317549, Eukaryota , Metazoa , Cnidaria 
91324, Eukaryota , Other, Cercozoa 
1169539, Eukaryota , Other, Other
2829, Eukaryota , Other, Other
119398, Eukaryota , Other, Apicomplexa 
138297, Eukaryota , Other, Apicomplexa 
5860, Eukaryota , Other, Apicomplexa 
37727, Eukaryota , Fungi , Ascomycota 
317549, Eukaryota , Metazoa , Cnidaria 
6233, Eukaryota , Metazoa , Nematoda 
59799, Eukaryota , Other, Euglenozoa 
3702, Eukaryota , Viridiplantae , Streptophyta 
332795, Eukaryota , Metazoa , Arthropoda 
51605, Eukaryota , Viridiplantae , Streptophyta 
165716, Eukaryota , Viridiplantae , Streptophyta 
165716, Eukaryota , Viridiplantae , Streptophyta 
3483, Eukaryota , Viridiplantae , Streptophyta 
3483, Eukaryota , Viridiplantae , Streptophyta 
1213859, Eukaryota , Fungi , Ascomycota 
46969, Eukaryota , Viridiplantae , Streptophyta 
2690220, Eukaryota , Other, Rhodophyta 
39325, Eukaryota , Viridiplantae , Streptophyta 
39325, Eukaryota , Viridiplantae , Streptophyta 
2650976, Eukaryota , Viridiplantae , Chlorophyta 
34287, Eukaryota , Viridiplantae , Streptophyta 
34287, Eukaryota , Viridiplantae , Streptophyta 
34287, Eukaryota , Viridiplantae , Streptophyta 
34286, Eukaryota , Viridiplantae , Streptophyta 
34286, Eukaryota , Viridiplantae , Streptophyta 
34286, Eukaryota , Viridiplantae , Streptophyta 
34288, Eukaryota , Viridiplantae , Streptophyta 
34282, Eukaryota , Viridiplantae , Streptophyta 
34282, Eukaryota , Viridiplantae , Streptophyta 
34281, Eukaryota , Viridiplantae , Streptophyta 
34281, Eukaryota , Viridiplantae , Streptophyta 
34285, Eukaryota , Viridiplantae , Streptophyta 
34283, Eukaryota , Viridiplantae , Streptophyta 
34291, Eukaryota , Viridiplantae , Streptophyta 
34291, Eukaryota , Viridiplantae , Streptophyta 
34291, Eukaryota , Viridiplantae , Streptophyta 
