Node,superkingdom,kingdom
6337, Eukaryota , Metazoa 
6337, Eukaryota , Metazoa 
6337, Eukaryota , Metazoa 
6337, Eukaryota , Metazoa 
6337, Eukaryota , Metazoa 
6335, Eukaryota , Metazoa 
268474, Eukaryota , Metazoa 
268474, Eukaryota , Metazoa 
92180, Eukaryota , Metazoa 
5478, Eukaryota , Fungi 
70667, Eukaryota , Metazoa 
34631, Eukaryota , Metazoa 
321146, Eukaryota , Fungi 
30085, Eukaryota , Metazoa 
8496, Eukaryota , Metazoa 
64791, Eukaryota , Metazoa 
178035, Eukaryota , Metazoa 
318479, Eukaryota , Metazoa 
35525, Eukaryota , Metazoa 
43041, Eukaryota , Metazoa 
139723, Eukaryota , Metazoa 
7168, Eukaryota , Metazoa 
199890, Eukaryota , Metazoa 
69004, Eukaryota , Metazoa 
62324, Eukaryota , Metazoa 
74869, Eukaryota , Metazoa 
34690, Eukaryota , Metazoa 
30066, Eukaryota , Metazoa 
112268, Eukaryota , Metazoa 
34691, Eukaryota , Metazoa 
36090, Eukaryota , Metazoa 
387005, Eukaryota , Metazoa 
6188, Eukaryota , Metazoa 
6265, Eukaryota , Metazoa 
66420, Eukaryota , Metazoa 
76193, Eukaryota , Metazoa 
4558, Eukaryota , Viridiplantae 
520822, Eukaryota , Metazoa 
456900, Eukaryota , Metazoa 
471704, Eukaryota , Metazoa 
34720, Eukaryota , Metazoa 
60296, Eukaryota , Metazoa 
1051664, Eukaryota , Metazoa 
1051664, Eukaryota , Metazoa 
1143690, Eukaryota , Metazoa 
321403, Eukaryota , Metazoa 
321403, Eukaryota , Metazoa 
704102, Eukaryota , Metazoa 
704102, Eukaryota , Metazoa 
451742, Eukaryota , Metazoa 
451742, Eukaryota , Metazoa 
105023, Eukaryota , Metazoa 
7395, Eukaryota , Metazoa 
37001, Eukaryota , Metazoa 
7398, Eukaryota , Metazoa 
37546, Eukaryota , Metazoa 
38151, Eukaryota , Metazoa 
1464854, Eukaryota , Metazoa 
1464854, Eukaryota , Metazoa 
320908, Eukaryota , Metazoa 
320908, Eukaryota , Metazoa 
36148, Eukaryota , Metazoa 
36148, Eukaryota , Metazoa 
947166, Eukaryota , Metazoa 
48709, Eukaryota , Metazoa 
9544, Eukaryota , Metazoa 
4577, Eukaryota , Viridiplantae 
237561, Eukaryota , Fungi 
187763, Eukaryota , Metazoa 
6326, Eukaryota , Metazoa 
1561998, Eukaryota , Metazoa 
7209, Eukaryota , Metazoa 
37863, Eukaryota , Metazoa 
6305, Eukaryota , Metazoa 
114890, Eukaryota , Metazoa 
6293, Eukaryota , Metazoa 
282301, Eukaryota , Metazoa 
282301, Eukaryota , Metazoa 
35570, Eukaryota , Metazoa 
108931, Eukaryota , Metazoa 
568069, Eukaryota , Metazoa 
7091, Eukaryota , Metazoa 
330878, Eukaryota , Metazoa 
8355, Eukaryota , Metazoa 
7177, Eukaryota , Metazoa 
7177, Eukaryota , Metazoa 
7177, Eukaryota , Metazoa 
7177, Eukaryota , Metazoa 
5963, Eukaryota , Other
5963, Eukaryota , Other
7209, Eukaryota , Metazoa 
9365, Eukaryota , Metazoa 
121845, Eukaryota , Metazoa 
10020, Eukaryota , Metazoa 
7574, Eukaryota , Metazoa 
7574, Eukaryota , Metazoa 
7574, Eukaryota , Metazoa 
7574, Eukaryota , Metazoa 
7574, Eukaryota , Metazoa 
8030, Eukaryota , Metazoa 
8030, Eukaryota , Metazoa 
8030, Eukaryota , Metazoa 
9365, Eukaryota , Metazoa 
4097, Eukaryota , Viridiplantae 
3635, Eukaryota , Viridiplantae 
3635, Eukaryota , Viridiplantae 
