Node,superkingdom,kingdom,phylum
75913, Eukaryota , Metazoa , Nematoda 
75913, Eukaryota , Metazoa , Nematoda 
72036, Eukaryota , Metazoa , Arthropoda 
30085, Eukaryota , Metazoa , Arthropoda 
30085, Eukaryota , Metazoa , Arthropoda 
304241, Eukaryota , Metazoa , Arthropoda 
174628, Eukaryota , Metazoa , Arthropoda 
7375, Eukaryota , Metazoa , Arthropoda 
1165861, Eukaryota , Fungi , Basidiomycota 
580059, Eukaryota , Other, Apicomplexa 
137071, Eukaryota , Other, Apicomplexa 
597456, Eukaryota , Metazoa , Arthropoda 
37653, Eukaryota , Metazoa , Mollusca 
6269, Eukaryota , Metazoa , Nematoda 
30019, Eukaryota , Metazoa , Arthropoda 
166423, Eukaryota , Metazoa , Arthropoda 
6280, Eukaryota , Metazoa , Nematoda 
131310, Eukaryota , Metazoa , Nematoda 
131310, Eukaryota , Metazoa , Nematoda 
451379, Eukaryota , Metazoa , Nematoda 
174720, Eukaryota , Metazoa , Nematoda 
174720, Eukaryota , Metazoa , Nematoda 
103827, Eukaryota , Metazoa , Nematoda 
72488, Eukaryota , Metazoa , Arthropoda 
10181, Eukaryota , Metazoa , Chordata 
113540, Eukaryota , Metazoa , Chordata 
12930, Eukaryota , Metazoa , Chordata 
7220, Eukaryota , Metazoa , Arthropoda 
3847, Eukaryota , Viridiplantae , Streptophyta 
334426, Eukaryota , Metazoa , Nematoda 
334426, Eukaryota , Metazoa , Nematoda 
42155, Eukaryota , Metazoa , Nematoda 
157739, Eukaryota , Viridiplantae , Streptophyta 
75058, Eukaryota , Other, Euglenozoa 
188132, Eukaryota , Metazoa , Chordata 
188132, Eukaryota , Metazoa , Chordata 
1629725, Eukaryota , Metazoa , Arthropoda 
266149, Eukaryota , Other, Ciliophora 
6336, Eukaryota , Metazoa , Nematoda 
181606, Eukaryota , Metazoa , Nematoda 
92179, Eukaryota , Metazoa , Nematoda 
6337, Eukaryota , Metazoa , Nematoda 
990121, Eukaryota , Metazoa , Nematoda 
6334, Eukaryota , Metazoa , Nematoda 
45882, Eukaryota , Metazoa , Nematoda 
6337, Eukaryota , Metazoa , Nematoda 
6337, Eukaryota , Metazoa , Nematoda 
6337, Eukaryota , Metazoa , Nematoda 
268475, Eukaryota , Metazoa , Nematoda 
268475, Eukaryota , Metazoa , Nematoda 
6337, Eukaryota , Metazoa , Nematoda 
6337, Eukaryota , Metazoa , Nematoda 
6337, Eukaryota , Metazoa , Nematoda 
6337, Eukaryota , Metazoa , Nematoda 
6337, Eukaryota , Metazoa , Nematoda 
6335, Eukaryota , Metazoa , Nematoda 
268474, Eukaryota , Metazoa , Nematoda 
268474, Eukaryota , Metazoa , Nematoda 
92180, Eukaryota , Metazoa , Nematoda 
5478, Eukaryota , Fungi , Ascomycota 
70667, Eukaryota , Metazoa , Platyhelminthes 
34631, Eukaryota , Metazoa , Arthropoda 
321146, Eukaryota , Fungi , Ascomycota 
30085, Eukaryota , Metazoa , Arthropoda 
8496, Eukaryota , Metazoa , Chordata 
64791, Eukaryota , Metazoa , Arthropoda 
178035, Eukaryota , Metazoa , Arthropoda 
318479, Eukaryota , Metazoa , Nematoda 
35525, Eukaryota , Metazoa , Arthropoda 
43041, Eukaryota , Metazoa , Arthropoda 
139723, Eukaryota , Metazoa , Arthropoda 
7168, Eukaryota , Metazoa , Arthropoda 
199890, Eukaryota , Metazoa , Arthropoda 
69004, Eukaryota , Metazoa , Arthropoda 
62324, Eukaryota , Metazoa , Arthropoda 
74869, Eukaryota , Metazoa , Arthropoda 
34690, Eukaryota , Metazoa , Arthropoda 
30066, Eukaryota , Metazoa , Arthropoda 
112268, Eukaryota , Metazoa , Arthropoda 
34691, Eukaryota , Metazoa , Arthropoda 
36090, Eukaryota , Metazoa , Nematoda 
387005, Eukaryota , Metazoa , Nematoda 
6188, Eukaryota , Metazoa , Platyhelminthes 
6265, Eukaryota , Metazoa , Nematoda 
66420, Eukaryota , Metazoa , Arthropoda 
76193, Eukaryota , Metazoa , Arthropoda 
4558, Eukaryota , Viridiplantae , Streptophyta 
520822, Eukaryota , Metazoa , Arthropoda 
456900, Eukaryota , Metazoa , Arthropoda 
471704, Eukaryota , Metazoa , Arthropoda 
34720, Eukaryota , Metazoa , Arthropoda 
60296, Eukaryota , Metazoa , Chordata 
1051664, Eukaryota , Metazoa , Chordata 
1051664, Eukaryota , Metazoa , Chordata 
1143690, Eukaryota , Metazoa , Chordata 
321403, Eukaryota , Metazoa , Chordata 
321403, Eukaryota , Metazoa , Chordata 
704102, Eukaryota , Metazoa , Chordata 
704102, Eukaryota , Metazoa , Chordata 
451742, Eukaryota , Metazoa , Chordata 
451742, Eukaryota , Metazoa , Chordata 
105023, Eukaryota , Metazoa , Chordata 
7395, Eukaryota , Metazoa , Arthropoda 
37001, Eukaryota , Metazoa , Arthropoda 
7398, Eukaryota , Metazoa , Arthropoda 
37546, Eukaryota , Metazoa , Arthropoda 
38151, Eukaryota , Metazoa , Arthropoda 
1464854, Eukaryota , Metazoa , Arthropoda 
1464854, Eukaryota , Metazoa , Arthropoda 
320908, Eukaryota , Metazoa , Arthropoda 
320908, Eukaryota , Metazoa , Arthropoda 
36148, Eukaryota , Metazoa , Arthropoda 
36148, Eukaryota , Metazoa , Arthropoda 
947166, Eukaryota , Metazoa , Tardigrada 
48709, Eukaryota , Metazoa , Arthropoda 
9544, Eukaryota , Metazoa , Chordata 
4577, Eukaryota , Viridiplantae , Streptophyta 
237561, Eukaryota , Fungi , Ascomycota 
187763, Eukaryota , Metazoa , Arthropoda 
6326, Eukaryota , Metazoa , Nematoda 
1561998, Eukaryota , Metazoa , Nematoda 
7209, Eukaryota , Metazoa , Nematoda 
37863, Eukaryota , Metazoa , Nematoda 
6305, Eukaryota , Metazoa , Nematoda 
114890, Eukaryota , Metazoa , Nematoda 
6293, Eukaryota , Metazoa , Nematoda 
282301, Eukaryota , Metazoa , Platyhelminthes 
282301, Eukaryota , Metazoa , Platyhelminthes 
35570, Eukaryota , Metazoa , Arthropoda 
108931, Eukaryota , Metazoa , Arthropoda 
568069, Eukaryota , Metazoa , Arthropoda 
7091, Eukaryota , Metazoa , Arthropoda 
330878, Eukaryota , Metazoa , Arthropoda 
8355, Eukaryota , Metazoa , Chordata 
7177, Eukaryota , Metazoa , Arthropoda 
7177, Eukaryota , Metazoa , Arthropoda 
7177, Eukaryota , Metazoa , Arthropoda 
7177, Eukaryota , Metazoa , Arthropoda 
5963, Eukaryota , Other, Ciliophora 
5963, Eukaryota , Other, Ciliophora 
7209, Eukaryota , Metazoa , Nematoda 
9365, Eukaryota , Metazoa , Chordata 
121845, Eukaryota , Metazoa , Arthropoda 
10020, Eukaryota , Metazoa , Chordata 
7574, Eukaryota , Metazoa , Brachiopoda 
7574, Eukaryota , Metazoa , Brachiopoda 
7574, Eukaryota , Metazoa , Brachiopoda 
7574, Eukaryota , Metazoa , Brachiopoda 
7574, Eukaryota , Metazoa , Brachiopoda 
8030, Eukaryota , Metazoa , Chordata 
8030, Eukaryota , Metazoa , Chordata 
8030, Eukaryota , Metazoa , Chordata 
9365, Eukaryota , Metazoa , Chordata 
4097, Eukaryota , Viridiplantae , Streptophyta 
3635, Eukaryota , Viridiplantae , Streptophyta 
3635, Eukaryota , Viridiplantae , Streptophyta 
3635, Eukaryota , Viridiplantae , Streptophyta 
3635, Eukaryota , Viridiplantae , Streptophyta 
7004, Eukaryota , Metazoa , Arthropoda 
372326, Eukaryota , Metazoa , Chordata 
418985, Eukaryota , Metazoa , Arthropoda 
2072580, Eukaryota , Metazoa , Tardigrada 
224129, Eukaryota , Metazoa , Arthropoda 
