Node,superkingdom,kingdom,phylum
1034831, Eukaryota , Other, Other
1034831, Eukaryota , Other, Other
96639, Eukaryota , Other, Other
96639, Eukaryota , Other, Other
1034831, Eukaryota , Other, Other
641309, Eukaryota , Other, Cercozoa 
641309, Eukaryota , Other, Cercozoa 
641309, Eukaryota , Other, Cercozoa 
641309, Eukaryota , Other, Cercozoa 
641309, Eukaryota , Other, Cercozoa 
94617, Eukaryota , Other, Other
94617, Eukaryota , Other, Other
265537, Eukaryota , Other, Bacillariophyta 
265537, Eukaryota , Other, Bacillariophyta 
96639, Eukaryota , Other, Other
96639, Eukaryota , Other, Other
49252, Eukaryota , Other, Bacillariophyta 
96639, Eukaryota , Other, Other
1461544, Eukaryota , Viridiplantae , Chlorophyta 
2945, Eukaryota , Other, Other
420275, Eukaryota , Other, Bacillariophyta 
420275, Eukaryota , Other, Bacillariophyta 
464258, Eukaryota , Viridiplantae , Chlorophyta 
101924, Eukaryota , Other, Rhodophyta 
101924, Eukaryota , Other, Rhodophyta 
101924, Eukaryota , Other, Rhodophyta 
101924, Eukaryota , Other, Rhodophyta 
101924, Eukaryota , Other, Rhodophyta 
156174, Eukaryota , Other, Haptophyta 
156174, Eukaryota , Other, Haptophyta 
156174, Eukaryota , Other, Haptophyta 
156174, Eukaryota , Other, Haptophyta 
676789, Eukaryota , Viridiplantae , Prasinodermophyta 
676789, Eukaryota , Viridiplantae , Prasinodermophyta 
676789, Eukaryota , Viridiplantae , Prasinodermophyta 
156174, Eukaryota , Other, Haptophyta 
1082188, Eukaryota , Other, Ciliophora 
652834, Eukaryota , Other, Other
464258, Eukaryota , Viridiplantae , Chlorophyta 
156174, Eukaryota , Other, Haptophyta 
156174, Eukaryota , Other, Haptophyta 
676789, Eukaryota , Viridiplantae , Prasinodermophyta 
1461544, Eukaryota , Viridiplantae , Chlorophyta 
1082188, Eukaryota , Other, Ciliophora 
1082188, Eukaryota , Other, Ciliophora 
1082188, Eukaryota , Other, Ciliophora 
652834, Eukaryota , Other, Other
652834, Eukaryota , Other, Other
89044, Eukaryota , Other, Other
89044, Eukaryota , Other, Other
89044, Eukaryota , Other, Other
89044, Eukaryota , Other, Other
182087, Eukaryota , Other, Ciliophora 
182087, Eukaryota , Other, Ciliophora 
197538, Eukaryota , Other, Ciliophora 
151035, Eukaryota , Other, Ciliophora 
151035, Eukaryota , Other, Ciliophora 
151035, Eukaryota , Other, Ciliophora 
151035, Eukaryota , Other, Ciliophora 
151035, Eukaryota , Other, Ciliophora 
151035, Eukaryota , Other, Ciliophora 
151035, Eukaryota , Other, Ciliophora 
151035, Eukaryota , Other, Ciliophora 
44058, Eukaryota , Other, Other
5936, Eukaryota , Other, Ciliophora 
5936, Eukaryota , Other, Ciliophora 
5936, Eukaryota , Other, Ciliophora 
5936, Eukaryota , Other, Ciliophora 
265554, Eukaryota , Other, Bacillariophyta 
215587, Eukaryota , Other, Other
215587, Eukaryota , Other, Other
89044, Eukaryota , Other, Other
89044, Eukaryota , Other, Other
89044, Eukaryota , Other, Other
182087, Eukaryota , Other, Ciliophora 
197538, Eukaryota , Other, Ciliophora 
197538, Eukaryota , Other, Ciliophora 
197538, Eukaryota , Other, Ciliophora 
197538, Eukaryota , Other, Ciliophora 
151035, Eukaryota , Other, Ciliophora 
151035, Eukaryota , Other, Ciliophora 
5936, Eukaryota , Other, Ciliophora 
265554, Eukaryota , Other, Bacillariophyta 
122233, Eukaryota , Other, Bacillariophyta 
122233, Eukaryota , Other, Bacillariophyta 
122233, Eukaryota , Other, Bacillariophyta 
3047, Eukaryota , Viridiplantae , Chlorophyta 
3047, Eukaryota , Viridiplantae , Chlorophyta 
141414, Eukaryota , Other, Ciliophora 
141414, Eukaryota , Other, Ciliophora 
2903, Eukaryota , Other, Haptophyta 
2903, Eukaryota , Other, Haptophyta 
2903, Eukaryota , Other, Haptophyta 
141414, Eukaryota , Other, Ciliophora 
2903, Eukaryota , Other, Haptophyta 
141414, Eukaryota , Other, Ciliophora 
2903, Eukaryota , Other, Haptophyta 
2903, Eukaryota , Other, Haptophyta 
2903, Eukaryota , Other, Haptophyta 
141414, Eukaryota , Other, Ciliophora 
141414, Eukaryota , Other, Ciliophora 
2969, Eukaryota , Other, Other
2969, Eukaryota , Other, Other
2969, Eukaryota , Other, Other
2969, Eukaryota , Other, Other
2969, Eukaryota , Other, Other
2829, Eukaryota , Other, Other
2969, Eukaryota , Other, Other
2969, Eukaryota , Other, Other
2969, Eukaryota , Other, Other
2829, Eukaryota , Other, Other
215587, Eukaryota , Other, Other
141414, Eukaryota , Other, Ciliophora 
141414, Eukaryota , Other, Ciliophora 
141414, Eukaryota , Other, Ciliophora 
2969, Eukaryota , Other, Other
2969, Eukaryota , Other, Other
2969, Eukaryota , Other, Other
2969, Eukaryota , Other, Other
2829, Eukaryota , Other, Other
2829, Eukaryota , Other, Other
2829, Eukaryota , Other, Other
91324, Eukaryota , Other, Cercozoa 
91324, Eukaryota , Other, Cercozoa 
91324, Eukaryota , Other, Cercozoa 
91324, Eukaryota , Other, Cercozoa 
91324, Eukaryota , Other, Cercozoa 
91324, Eukaryota , Other, Cercozoa 
91324, Eukaryota , Other, Cercozoa 
35677, Eukaryota , Other, Other
35677, Eukaryota , Other, Other
35677, Eukaryota , Other, Other
13221, Eukaryota , Other, Haptophyta 
13221, Eukaryota , Other, Haptophyta 
13221, Eukaryota , Other, Haptophyta 
73025, Eukaryota , Other, Euglenozoa 
73025, Eukaryota , Other, Euglenozoa 
73025, Eukaryota , Other, Euglenozoa 
