Node,"['Kingdom', 'N', 'C']"
150342,"['E', 'Acanthinucella', 'California']"
412080,"['E', 'Acanthophis', 'Seram']"
175434,"['E', 'Acanthurus', ""Thompson's""]"
136180,"['E', 'Acartia', 'Copepod']"
175435,"['E', 'Acanthurus', 'Convict']"
385555,"['E', 'Acanthocardia', 'Rough']"
753143,"['E', 'Acanthopteroctetes', 'Moth']"
6277,"['E', 'Acanthocheilonema', 'Filarial']"
133117,"['E', 'Acalymma', 'Striped']"
478375,"['E', 'Acarapis', 'Honey']"
261198,"['E', 'Accipiter', ""Cooper's""]"
8957,"['E', 'Accipiter', 'Northern']"
522306,"['B', 'Accumulibacter', '']"
56330,"['E', 'Accipiter', 'Sharp-shinned']"
435,"['B', 'Acetobacter', '']"
35845,"['E', 'Acetabularia', ""Mermaid's""]"
1446466,"['B', 'Acetothermus', '']"
574087,"['B', 'Acetohalobium', '']"
57649,"['E', 'Acer', 'Trident']"
66205,"['E', 'Acer', 'Field']"
720554,"['B', 'Acetivibrio', '']"
1285428,"['E', 'Acentrogobius', 'Greenspot']"
35846,"['E', 'Acetabularia', 'White']"
376739,"['E', 'Acentrogobius', 'Robust']"
505845,"['E', 'Acerodon', 'Golden-capped']"
891968,"['B', 'Acetomicrobium', '']"
168566,"['E', 'Acer', 'Montpellier']"
4023,"['E', 'Acer', 'Box']"
168567,"['E', 'Acer', 'Italian']"
634452,"['B', 'Acetobacter', '']"
438,"['B', 'Acetobacter', '']"
35862,"['E', 'Acetabularia', 'Green']"
376893,"['E', 'Acentrogobius', 'Striped']"
4025,"['E', 'Acer', 'Norway']"
66201,"['E', 'Acer', 'Japanese']"
66214,"['E', 'Acer', 'Goosefoot']"
4026,"['E', 'Acer', 'Sycamore']"
45314,"['E', 'Acer', 'Red']"
4024,"['E', 'Acer', 'Sugar']"
75745,"['E', 'Acer', 'Silver']"
499177,"['B', 'Acetoanaerobium', '']"
57652,"['E', 'Acer', 'Moose']"
1511,"['B', 'Acetoanaerobium', '']"
637887,"['B', 'Acetivibrio', '']"
203119,"['B', 'Acetivibrio', '']"
1515,"['B', 'Acetivibrio', 'Hungateiclostridium']"
931626,"['B', 'Acetobacterium', '']"
33952,"['B', 'Acetobacterium', '']"
1442373,"['E', 'Achatina', 'Giant']"
188992,"['E', 'Achimenes', 'Monkey']"
1287736,"['B', 'Achromobacter', '']"
4768,"['E', 'Achlya', 'Water']"
169206,"['E', 'Achyranthes', 'Chaff']"
4766,"['E', 'Achlya', 'Water']"
262805,"['E', 'Achelia', 'Sea']"
354749,"['E', 'Achlyodes', 'Giant']"
75334,"['E', 'Acheilognathus', 'Khanka']"
229769,"['E', 'Achipteria', 'Oribatid']"
223,"['B', 'Achromobacter', '']"
32002,"['B', 'Achromobacter', '']"
6997,"['E', 'Acheta', 'House']"
61895,"['E', 'Achelia', 'Sea']"
378752,"['E', 'Achaea', 'Castor']"
4767,"['E', 'Achlya', '']"
2148,"['B', 'Acholeplasma', '']"
441768,"['B', 'Acholeplasma', '']"
253938,"['E', 'Achirus', 'Lined']"
224,"['B', 'Achromobacter', '']"
80791,"['E', 'Acheilognathus', 'Deep']"
572522,"['E', 'Achalinus', 'Sichuan']"
